,dates,times,orders,prices,staff
352,22-07-2021,11:38,['Pour-over normal'],[100],Penguin
353,22-07-2021,12:17,"['Espresso shot', 'Cappucino']","[30, 70]",Penguin
354,22-07-2021,13:05,"['Mocha', 'Cappucino']","[75, 70]",Penguin
355,22-07-2021,13:20,['Cappucino'],[70],Penguin
356,22-07-2021,13:47,"['Pour-over normal', 'Americano']","[100, 50]",Penguin
357,22-07-2021,14:00,"['Pour-over normal', 'Americano']","[100, 50]",Penguin
358,22-07-2021,14:57,['Cappucino'],[70],Penguin
359,22-07-2021,15:12,"['Coffee beans 200', 'Mocha', 'Cappucino']","[400, 75, 70]",Penguin
360,22-07-2021,15:13,"['Pour-over normal', 'Pour-over special']","[100, 200]",Penguin
361,22-07-2021,15:16,['Americano'],[50],Penguin
362,22-07-2021,15:28,['Pour-over special'],[200],Penguin
363,22-07-2021,16:11,"['Cappucino', 'Americano']","[70, 50]",Penguin
364,22-07-2021,16:30,"['Cappucino', 'Coffee beans special 200', 'Pour-over special', 'Pour-over special', 'Coffee beans special 200']","[70, 600, 200, 200, 600]",Penguin
365,22-07-2021,16:48,"['Pour-over special', 'Espresso shot']","[200, 30]",Penguin
366,22-07-2021,7:04,"['Pour-over normal', 'Flat white']","[100, 70]",Penguin
367,22-07-2021,7:45,['Flat white'],[70],Penguin
368,22-07-2021,8:36,"['Flat white', 'Espresso shot', 'Coffee beans special 200']","[70, 30, 600]",Penguin
369,22-07-2021,8:38,['Pour-over special'],[200],Penguin
370,22-07-2021,9:02,"['Pour-over normal', 'Flat white']","[100, 70]",Penguin
371,22-07-2021,9:57,['Latte'],[70],Penguin
372,23-07-2021,10:15,['Latte'],[70],Rambo
373,23-07-2021,10:21,['Coffee beans 200'],[400],Rambo
374,23-07-2021,10:30,"['Pour-over special', 'Pour-over normal']","[200, 100]",Rambo
375,23-07-2021,11:22,['Americano'],[50],Rambo
376,23-07-2021,11:26,['Coffee beans special 200'],[600],Rambo
377,23-07-2021,11:29,['Cappucino'],[70],Rambo
378,23-07-2021,11:38,"['Pour-over special', 'Americano', 'Latte', 'Mocha']","[200, 50, 70, 75]",Rambo
379,23-07-2021,11:44,"['Mocha', 'Espresso shot']","[75, 30]",Rambo
380,23-07-2021,12:22,['Flat white'],[70],Rambo
381,23-07-2021,12:54,"['Pour-over normal', 'Pour-over normal', 'Pour-over special']","[100, 100, 200]",Rambo
382,23-07-2021,12:59,['Coffee beans special 200'],[600],Rambo
383,23-07-2021,13:51,['Cappucino'],[70],Rambo
384,23-07-2021,14:00,"['Coffee beans special 200', 'Latte']","[600, 70]",Rambo
385,23-07-2021,14:48,"['Pour-over normal', 'Cappucino', 'Pour-over normal']","[100, 70, 100]",Rambo
386,23-07-2021,15:48,"['Flat white', 'Pour-over normal', 'Coffee beans special 200']","[70, 100, 600]",Rambo
387,23-07-2021,16:10,"['Pour-over normal', 'Pour-over special']","[100, 200]",Rambo
388,23-07-2021,16:36,"['Flat white', 'Mocha']","[70, 75]",Rambo
389,23-07-2021,7:28,"['Latte', 'Americano', 'Cappucino', 'Americano']","[70, 50, 70, 50]",Rambo
390,23-07-2021,7:49,['Pour-over special'],[200],Rambo
391,23-07-2021,8:09,"['Pour-over normal', 'Pour-over special']","[100, 200]",Rambo
392,23-07-2021,8:09,"['Pour-over special', 'Latte']","[200, 70]",Rambo
393,23-07-2021,8:14,"['Flat white', 'Pour-over normal']","[70, 100]",Rambo
394,23-07-2021,8:37,"['Americano', 'Cappucino']","[50, 70]",Rambo
395,23-07-2021,8:39,"['Pour-over special', 'Macchiato']","[200, 75]",Rambo
396,23-07-2021,8:46,['Pour-over special'],[200],Rambo
397,23-07-2021,8:52,"['Pour-over normal', 'Coffee beans 200', 'Latte']","[100, 400, 70]",Rambo
398,23-07-2021,9:38,"['Mocha', 'Espresso shot', 'Coffee beans 200', 'Pour-over special']","[75, 30, 400, 200]",Rambo
399,24-07-2021,12:25,"['Latte', 'Latte']","[70, 70]",Medse
400,24-07-2021,12:50,['Cappucino'],[70],Medse
401,24-07-2021,13:25,"['Mocha', 'Cappucino', 'Americano', 'Flat white']","[75, 70, 50, 70]",Medse
402,24-07-2021,13:26,"['Latte', 'Latte']","[70, 70]",Medse
403,24-07-2021,13:26,['Cappucino'],[70],Medse
404,24-07-2021,13:39,"['Pour-over normal', 'Cappucino']","[100, 70]",Medse
405,24-07-2021,13:57,['Coffee beans special 200'],[600],Medse
406,24-07-2021,14:20,"['Pour-over special', 'Flat white']","[200, 70]",Medse
407,24-07-2021,15:01,"['Pour-over normal', 'Latte', 'Espresso shot']","[100, 70, 30]",Medse
408,24-07-2021,15:18,"['Flat white', 'Latte']","[70, 70]",Medse
409,24-07-2021,15:43,['Macchiato'],[75],Medse
410,24-07-2021,16:31,['Coffee beans 200'],[400],Medse
411,24-07-2021,16:38,"['Pour-over special', 'Flat white', 'Coffee beans 200']","[200, 70, 400]",Medse
412,24-07-2021,7:50,"['Pour-over special', 'Latte']","[200, 70]",Medse
413,24-07-2021,7:56,['Latte'],[70],Medse
414,24-07-2021,8:14,"['Pour-over normal', 'Espresso shot']","[100, 30]",Medse
415,24-07-2021,8:50,"['Pour-over normal', 'Pour-over normal']","[100, 100]",Medse
416,24-07-2021,9:32,['Cappucino'],[70],Medse
417,24-07-2021,9:33,['Latte'],[70],Medse
418,25-07-2021,10:13,['Coffee beans 200'],[400],Medse
419,25-07-2021,11:29,['Espresso shot'],[30],Medse
420,25-07-2021,11:33,"['Cappucino', 'Coffee beans 200']","[70, 400]",Medse
421,25-07-2021,12:10,['Pour-over special'],[200],Medse
422,25-07-2021,13:19,"['Pour-over special', 'Espresso shot']","[200, 30]",Medse
423,25-07-2021,13:33,['Cappucino'],[70],Medse
424,25-07-2021,13:45,['Pour-over normal'],[100],Medse
425,25-07-2021,13:50,"['Flat white', 'Flat white', 'Pour-over normal']","[70, 70, 100]",Medse
426,25-07-2021,14:49,"['Pour-over normal', 'Americano']","[100, 50]",Medse
427,25-07-2021,15:59,"['Pour-over normal', 'Pour-over special']","[100, 200]",Medse
428,25-07-2021,16:02,"['Pour-over normal', 'Espresso shot']","[100, 30]",Medse
429,25-07-2021,16:46,['Pour-over normal'],[100],Medse
430,25-07-2021,16:56,['Coffee beans 200'],[400],Medse
431,25-07-2021,7:39,['Pour-over normal'],[100],Medse
432,25-07-2021,8:00,['Latte'],[70],Medse
433,25-07-2021,8:56,"['Espresso shot', 'Cappucino', 'Pour-over special']","[30, 70, 200]",Medse
434,25-07-2021,9:12,"['Latte', 'Latte']","[70, 70]",Medse
435,25-07-2021,9:26,['Pour-over special'],[200],Medse
436,25-07-2021,9:54,['Cappucino'],[70],Medse
437,26-07-2021,10:24,"['Coffee beans 200', 'Pour-over special']","[400, 200]",Rambo
438,26-07-2021,11:02,['Pour-over special'],[200],Rambo
439,26-07-2021,11:59,['Espresso shot'],[30],Rambo
440,26-07-2021,12:13,"['Latte', 'Cappucino', 'Pour-over special']","[70, 70, 200]",Rambo
441,26-07-2021,12:22,['Espresso shot'],[30],Rambo
442,26-07-2021,12:44,['Cappucino'],[70],Rambo
443,26-07-2021,13:19,['Flat white'],[70],Rambo
444,26-07-2021,13:51,"['Pour-over normal', 'Mocha']","[100, 75]",Rambo
445,26-07-2021,14:14,"['Flat white', 'Coffee beans special 200', 'Cappucino']","[70, 600, 70]",Rambo
446,26-07-2021,14:36,"['Pour-over normal', 'Flat white', 'Mocha']","[100, 70, 75]",Rambo
447,26-07-2021,14:46,['Americano'],[50],Rambo
448,26-07-2021,15:07,['Flat white'],[70],Rambo
449,26-07-2021,15:22,['Coffee beans 200'],[400],Rambo
450,26-07-2021,15:31,['Coffee beans special 200'],[600],Rambo
451,26-07-2021,15:51,['Flat white'],[70],Rambo
452,26-07-2021,16:01,['Cappucino'],[70],Rambo
453,26-07-2021,16:19,"['Pour-over normal', 'Americano']","[100, 50]",Rambo
454,26-07-2021,16:27,['Americano'],[50],Rambo
455,26-07-2021,7:04,['Coffee beans special 200'],[600],Rambo
456,26-07-2021,7:27,['Flat white'],[70],Rambo
457,26-07-2021,8:04,['Latte'],[70],Rambo
458,26-07-2021,8:14,['Espresso shot'],[30],Rambo
459,26-07-2021,9:14,"['Americano', 'Flat white']","[50, 70]",Rambo
460,26-07-2021,9:50,"['Cappucino', 'Americano', 'Cappucino']","[70, 50, 70]",Rambo
461,27-07-2021,10:42,"['Flat white', 'Pour-over normal', 'Espresso shot']","[70, 100, 30]",Penguin
462,27-07-2021,11:02,['Pour-over special'],[200],Penguin
463,27-07-2021,11:38,"['Cappucino', 'Coffee beans 200', 'Mocha']","[70, 400, 75]",Penguin
464,27-07-2021,11:43,['Pour-over special'],[200],Penguin
465,27-07-2021,11:50,"['Americano', 'Coffee beans special 200', 'Cappucino']","[50, 600, 70]",Penguin
466,27-07-2021,12:22,['Pour-over normal'],[100],Penguin
467,27-07-2021,13:14,['Cappucino'],[70],Penguin
468,27-07-2021,14:37,['Macchiato'],[75],Penguin
469,27-07-2021,7:35,['Pour-over special'],[200],Penguin
470,27-07-2021,8:24,"['Latte', 'Pour-over special', 'Pour-over normal']","[70, 200, 100]",Penguin
471,28-07-2021,10:02,"['Latte', 'Pour-over special']","[70, 200]",Rambo
472,28-07-2021,10:06,['Pour-over normal'],[100],Rambo
473,28-07-2021,10:25,['Americano'],[50],Rambo
474,28-07-2021,10:34,['Macchiato'],[75],Rambo
475,28-07-2021,10:59,"['Latte', 'Espresso shot', 'Pour-over special', 'Pour-over normal', 'Pour-over normal']","[70, 30, 200, 100, 100]",Rambo
476,28-07-2021,11:24,['Flat white'],[70],Rambo
477,28-07-2021,12:08,"['Latte', 'Pour-over normal', 'Mocha']","[70, 100, 75]",Rambo
478,28-07-2021,12:10,"['Latte', 'Pour-over special', 'Pour-over special']","[70, 200, 200]",Rambo
479,28-07-2021,12:54,"['Pour-over special', 'Latte']","[200, 70]",Rambo
480,28-07-2021,12:59,['Latte'],[70],Rambo
481,28-07-2021,13:53,"['Flat white', 'Latte']","[70, 70]",Rambo
482,28-07-2021,14:03,"['Americano', 'Pour-over normal', 'Pour-over special']","[50, 100, 200]",Rambo
483,28-07-2021,14:04,"['Pour-over special', 'Americano', 'Americano']","[200, 50, 50]",Rambo
484,28-07-2021,15:10,"['Pour-over normal', 'Latte']","[100, 70]",Rambo
485,28-07-2021,15:17,['Mocha'],[75],Rambo
486,28-07-2021,15:32,['Flat white'],[70],Rambo
487,28-07-2021,16:01,"['Coffee beans special 200', 'Macchiato']","[600, 75]",Rambo
488,28-07-2021,16:06,"['Coffee beans special 200', 'Macchiato', 'Pour-over special', 'Flat white', 'Cappucino']","[600, 75, 200, 70, 70]",Rambo
489,28-07-2021,16:12,"['Coffee beans special 200', 'Coffee beans special 200', 'Cappucino']","[600, 600, 70]",Rambo
490,28-07-2021,7:12,"['Coffee beans special 200', 'Mocha']","[600, 75]",Rambo
491,28-07-2021,7:36,['Americano'],[50],Rambo
492,28-07-2021,7:53,"['Latte', 'Cappucino']","[70, 70]",Rambo
493,28-07-2021,8:05,"['Pour-over special', 'Americano', 'Mocha']","[200, 50, 75]",Rambo
494,28-07-2021,8:15,['Americano'],[50],Rambo
495,28-07-2021,8:29,"['Pour-over special', 'Pour-over normal', 'Pour-over normal', 'Americano', 'Americano']","[200, 100, 100, 50, 50]",Rambo
496,28-07-2021,8:56,['Coffee beans 200'],[400],Rambo
497,28-07-2021,9:23,"['Pour-over special', 'Americano']","[200, 50]",Rambo
498,28-07-2021,9:37,"['Pour-over special', 'Mocha']","[200, 75]",Rambo
499,29-07-2021,10:00,['Latte'],[70],Penguin
500,29-07-2021,10:31,['Pour-over normal'],[100],Penguin
501,29-07-2021,10:35,"['Pour-over normal', 'Pour-over normal', 'Cappucino']","[100, 100, 70]",Penguin
502,29-07-2021,11:27,"['Latte', 'Espresso shot']","[70, 30]",Penguin
503,29-07-2021,11:35,['Latte'],[70],Penguin
504,29-07-2021,11:39,"['Cappucino', 'Pour-over normal']","[70, 100]",Penguin
505,29-07-2021,11:40,['Pour-over normal'],[100],Penguin
506,29-07-2021,11:46,['Flat white'],[70],Penguin
507,29-07-2021,11:59,"['Pour-over special', 'Pour-over normal']","[200, 100]",Penguin
508,29-07-2021,12:00,"['Latte', 'Pour-over normal', 'Americano', 'Latte']","[70, 100, 50, 70]",Penguin
509,29-07-2021,12:14,"['Pour-over normal', 'Pour-over special']","[100, 200]",Penguin
510,29-07-2021,12:26,"['Pour-over special', 'Flat white']","[200, 70]",Penguin
511,29-07-2021,12:46,['Cappucino'],[70],Penguin
512,29-07-2021,13:15,"['Latte', 'Americano', 'Latte']","[70, 50, 70]",Penguin
513,29-07-2021,13:21,['Pour-over special'],[200],Penguin
514,29-07-2021,13:23,"['Latte', 'Macchiato']","[70, 75]",Penguin
515,29-07-2021,13:47,"['Flat white', 'Macchiato']","[70, 75]",Penguin
516,29-07-2021,14:05,"['Coffee beans 200', 'Latte', 'Flat white']","[400, 70, 70]",Penguin
517,29-07-2021,14:57,['Americano'],[50],Penguin
518,29-07-2021,15:26,['Mocha'],[75],Penguin
519,29-07-2021,15:51,"['Americano', 'Americano']","[50, 50]",Penguin
520,29-07-2021,16:01,['Americano'],[50],Penguin
521,29-07-2021,16:27,['Americano'],[50],Penguin
522,29-07-2021,7:44,['Pour-over special'],[200],Penguin
523,29-07-2021,8:03,"['Coffee beans 200', 'Cappucino', 'Pour-over special', 'Americano']","[400, 70, 200, 50]",Penguin
524,29-07-2021,8:03,"['Latte', 'Pour-over special']","[70, 200]",Penguin
525,29-07-2021,8:40,"['Flat white', 'Pour-over special', 'Cappucino', 'Coffee beans 200', 'Pour-over normal']","[70, 200, 70, 400, 100]",Penguin
526,29-07-2021,9:05,['Americano'],[50],Penguin
527,29-07-2021,9:24,"['Coffee beans special 200', 'Flat white']","[600, 70]",Penguin
528,30-07-2021,12:09,['Macchiato'],[75],Rambo
529,30-07-2021,12:59,['Cappucino'],[70],Rambo
530,30-07-2021,13:26,"['Cappucino', 'Americano', 'Pour-over normal', 'Pour-over special', 'Cappucino']","[70, 50, 100, 200, 70]",Rambo
531,30-07-2021,14:41,"['Cappucino', 'Pour-over special', 'Pour-over normal', 'Flat white']","[70, 200, 100, 70]",Rambo
532,30-07-2021,14:50,"['Coffee beans 200', 'Latte']","[400, 70]",Rambo
533,30-07-2021,15:27,['Espresso shot'],[30],Rambo
534,30-07-2021,7:28,"['Espresso shot', 'Pour-over normal']","[30, 100]",Rambo
535,30-07-2021,7:35,['Cappucino'],[70],Rambo
536,30-07-2021,8:05,"['Pour-over normal', 'Mocha']","[100, 75]",Rambo
537,31-07-2021,10:40,['Espresso shot'],[30],Medse
538,31-07-2021,10:41,"['Latte', 'Cappucino']","[70, 70]",Medse
539,31-07-2021,11:24,['Pour-over normal'],[100],Medse
540,31-07-2021,12:01,"['Pour-over normal', 'Coffee beans 200']","[100, 400]",Medse
541,31-07-2021,13:27,['Coffee beans special 200'],[600],Medse
542,31-07-2021,15:07,['Pour-over normal'],[100],Medse
543,31-07-2021,16:48,['Flat white'],[70],Medse
544,31-07-2021,7:05,['Mocha'],[75],Medse
545,31-07-2021,7:09,['Coffee beans special 200'],[600],Medse
546,31-07-2021,7:31,['Espresso shot'],[30],Medse
547,31-07-2021,8:05,"['Latte', 'Cappucino']","[70, 70]",Medse
548,31-07-2021,8:06,"['Flat white', 'Americano', 'Latte', 'Coffee beans special 200', 'Mocha']","[70, 50, 70, 600, 75]",Medse
549,31-07-2021,8:14,"['Latte', 'Macchiato', 'Pour-over normal']","[70, 75, 100]",Medse
550,31-07-2021,8:56,"['Pour-over normal', 'Pour-over normal']","[100, 100]",Medse
551,01-08-2021,10:11,['Coffee beans 200'],[400],Medse
552,01-08-2021,11:23,['Pour-over normal'],[100],Medse
553,01-08-2021,11:27,"['Espresso shot', 'Americano', 'Pour-over special', 'Americano', 'Coffee beans 200']","[30, 50, 200, 50, 400]",Medse
554,01-08-2021,12:06,['Pour-over normal'],[100],Medse
555,01-08-2021,13:12,"['Mocha', 'Pour-over normal', 'Flat white', 'Mocha']","[75, 100, 70, 75]",Medse
556,01-08-2021,14:05,"['Cappucino', 'Pour-over special']","[70, 200]",Medse
557,01-08-2021,15:12,['Pour-over normal'],[100],Medse
558,01-08-2021,16:01,"['Americano', 'Cappucino', 'Pour-over special']","[50, 70, 200]",Medse
559,01-08-2021,16:02,"['Pour-over special', 'Pour-over normal', 'Coffee beans special 200']","[200, 100, 600]",Medse
560,01-08-2021,7:32,['Coffee beans special 200'],[600],Medse
561,01-08-2021,7:55,"['Americano', 'Americano', 'Pour-over special', 'Americano']","[50, 50, 200, 50]",Medse
562,01-08-2021,8:24,"['Coffee beans 200', 'Latte']","[400, 70]",Medse
563,01-08-2021,9:04,['Mocha'],[75],Medse
564,01-08-2021,9:12,['Cappucino'],[70],Medse
565,02-08-2021,11:08,['Macchiato'],[75],Rambo
566,02-08-2021,11:51,"['Coffee beans special 200', 'Pour-over normal']","[600, 100]",Rambo
567,02-08-2021,12:13,['Pour-over normal'],[100],Rambo
568,02-08-2021,12:17,"['Latte', 'Macchiato', 'Pour-over normal', 'Flat white', 'Flat white']","[70, 75, 100, 70, 70]",Rambo
569,02-08-2021,12:28,"['Flat white', 'Mocha']","[70, 75]",Rambo
570,02-08-2021,12:50,['Latte'],[70],Rambo
571,02-08-2021,13:18,['Espresso shot'],[30],Rambo
572,02-08-2021,13:24,['Flat white'],[70],Rambo
573,02-08-2021,13:29,['Pour-over special'],[200],Rambo
574,02-08-2021,15:02,['Americano'],[50],Rambo
575,02-08-2021,15:42,['Latte'],[70],Rambo
576,02-08-2021,15:47,['Pour-over normal'],[100],Rambo
577,02-08-2021,16:31,['Latte'],[70],Rambo
578,02-08-2021,16:42,"['Pour-over normal', 'Americano']","[100, 50]",Rambo
579,02-08-2021,16:57,"['Pour-over normal', 'Cappucino', 'Pour-over normal']","[100, 70, 100]",Rambo
580,02-08-2021,7:57,['Americano'],[50],Rambo
581,02-08-2021,8:20,"['Americano', 'Pour-over normal', 'Macchiato']","[50, 100, 75]",Rambo
582,02-08-2021,9:54,"['Coffee beans special 200', 'Flat white', 'Americano']","[600, 70, 50]",Rambo
583,03-08-2021,11:04,['Pour-over special'],[200],Penguin
584,03-08-2021,11:23,"['Cappucino', 'Mocha']","[70, 75]",Penguin
585,03-08-2021,11:51,['Mocha'],[75],Penguin
586,03-08-2021,12:24,"['Espresso shot', 'Americano']","[30, 50]",Penguin
587,03-08-2021,12:28,"['Pour-over normal', 'Pour-over normal', 'Cappucino', 'Pour-over special', 'Latte']","[100, 100, 70, 200, 70]",Penguin
588,03-08-2021,13:22,"['Pour-over normal', 'Latte']","[100, 70]",Penguin
589,03-08-2021,13:55,['Latte'],[70],Penguin
590,03-08-2021,14:15,"['Pour-over normal', 'Coffee beans 200']","[100, 400]",Penguin
591,03-08-2021,15:14,['Latte'],[70],Penguin
592,03-08-2021,15:37,"['Pour-over normal', 'Coffee beans 200']","[100, 400]",Penguin
593,03-08-2021,8:18,"['Coffee beans special 200', 'Pour-over normal']","[600, 100]",Penguin
594,03-08-2021,8:33,['Pour-over normal'],[100],Penguin
595,03-08-2021,8:46,"['Pour-over normal', 'Pour-over special']","[100, 200]",Penguin
596,03-08-2021,9:01,"['Coffee beans 200', 'Espresso shot']","[400, 30]",Penguin
597,04-08-2021,10:08,"['Coffee beans special 200', 'Pour-over special']","[600, 200]",Rambo
598,04-08-2021,11:16,"['Macchiato', 'Latte']","[75, 70]",Rambo
599,04-08-2021,11:18,"['Flat white', 'Latte']","[70, 70]",Rambo
600,04-08-2021,11:19,"['Americano', 'Espresso shot']","[50, 30]",Rambo
601,04-08-2021,11:39,"['Coffee beans special 200', 'Cappucino']","[600, 70]",Rambo
602,04-08-2021,13:20,"['Latte', 'Pour-over special', 'Flat white']","[70, 200, 70]",Rambo
603,04-08-2021,15:45,['Pour-over special'],[200],Rambo
604,04-08-2021,15:56,"['Flat white', 'Pour-over special', 'Flat white', 'Flat white']","[70, 200, 70, 70]",Rambo
605,04-08-2021,16:18,['Pour-over normal'],[100],Rambo
606,04-08-2021,16:38,"['Macchiato', 'Pour-over special', 'Pour-over normal', 'Pour-over normal']","[75, 200, 100, 100]",Rambo
607,04-08-2021,7:15,['Macchiato'],[75],Rambo
608,04-08-2021,7:27,['Cappucino'],[70],Rambo
609,04-08-2021,7:36,['Pour-over special'],[200],Rambo
610,04-08-2021,7:46,"['Flat white', 'Macchiato']","[70, 75]",Rambo
611,04-08-2021,7:59,['Flat white'],[70],Rambo
612,04-08-2021,9:15,['Pour-over special'],[200],Rambo
613,05-08-2021,10:08,['Pour-over special'],[200],Penguin
614,05-08-2021,11:13,['Latte'],[70],Penguin
615,05-08-2021,11:26,['Americano'],[50],Penguin
616,05-08-2021,11:47,['Latte'],[70],Penguin
617,05-08-2021,14:46,"['Pour-over normal', 'Macchiato']","[100, 75]",Penguin
618,05-08-2021,15:00,"['Americano', 'Pour-over normal']","[50, 100]",Penguin
619,05-08-2021,15:38,"['Mocha', 'Mocha', 'Pour-over normal', 'Flat white', 'Latte']","[75, 75, 100, 70, 70]",Penguin
620,05-08-2021,15:50,"['Latte', 'Cappucino', 'Americano']","[70, 70, 50]",Penguin
621,05-08-2021,9:45,"['Coffee beans special 200', 'Pour-over special']","[600, 200]",Penguin
622,06-08-2021,10:43,['Latte'],[70],Rambo
623,06-08-2021,10:59,"['Pour-over normal', 'Latte', 'Macchiato', 'Pour-over normal', 'Cappucino']","[100, 70, 75, 100, 70]",Rambo
624,06-08-2021,11:06,['Cappucino'],[70],Rambo
625,06-08-2021,11:22,"['Pour-over normal', 'Pour-over normal']","[100, 100]",Rambo
626,06-08-2021,11:26,['Coffee beans special 200'],[600],Rambo
627,06-08-2021,11:35,['Pour-over special'],[200],Rambo
628,06-08-2021,12:45,"['Mocha', 'Latte']","[75, 70]",Rambo
629,06-08-2021,13:38,"['Macchiato', 'Flat white', 'Pour-over special', 'Pour-over normal']","[75, 70, 200, 100]",Rambo
630,06-08-2021,15:22,['Flat white'],[70],Rambo
631,06-08-2021,15:24,['Coffee beans special 200'],[600],Rambo
632,06-08-2021,15:43,['Americano'],[50],Rambo
633,06-08-2021,16:05,"['Flat white', 'Americano']","[70, 50]",Rambo
634,06-08-2021,16:21,['Pour-over normal'],[100],Rambo
635,06-08-2021,16:57,['Pour-over normal'],[100],Rambo
636,06-08-2021,7:13,"['Flat white', 'Pour-over normal']","[70, 100]",Rambo
637,06-08-2021,8:17,['Latte'],[70],Rambo
638,06-08-2021,8:33,"['Pour-over normal', 'Espresso shot']","[100, 30]",Rambo
639,06-08-2021,9:27,"['Americano', 'Cappucino', 'Cappucino']","[50, 70, 70]",Rambo
640,06-08-2021,9:41,['Latte'],[70],Rambo
641,07-08-2021,10:15,"['Pour-over normal', 'Pour-over normal', 'Cappucino', 'Macchiato']","[100, 100, 70, 75]",Medse
642,07-08-2021,10:20,['Cappucino'],[70],Medse
643,07-08-2021,10:33,"['Pour-over normal', 'Pour-over special', 'Americano']","[100, 200, 50]",Medse
644,07-08-2021,10:53,['Americano'],[50],Medse
645,07-08-2021,11:26,['Latte'],[70],Medse
646,07-08-2021,11:43,['Flat white'],[70],Medse
647,07-08-2021,11:51,"['Cappucino', 'Coffee beans special 200', 'Pour-over normal', 'Flat white', 'Pour-over special']","[70, 600, 100, 70, 200]",Medse
648,07-08-2021,12:02,"['Flat white', 'Pour-over normal']","[70, 100]",Medse
649,07-08-2021,13:12,"['Pour-over normal', 'Cappucino']","[100, 70]",Medse
650,07-08-2021,13:22,['Cappucino'],[70],Medse
651,07-08-2021,13:54,"['Americano', 'Flat white']","[50, 70]",Medse
652,07-08-2021,13:59,['Pour-over normal'],[100],Medse
653,07-08-2021,14:01,"['Cappucino', 'Americano']","[70, 50]",Medse
654,07-08-2021,14:09,"['Espresso shot', 'Pour-over normal']","[30, 100]",Medse
655,07-08-2021,14:12,['Pour-over normal'],[100],Medse
656,07-08-2021,15:09,['Pour-over special'],[200],Medse
657,07-08-2021,15:26,"['Americano', 'Flat white']","[50, 70]",Medse
658,07-08-2021,15:30,"['Coffee beans special 200', 'Coffee beans special 200']","[600, 600]",Medse
659,07-08-2021,15:40,"['Latte', 'Macchiato', 'Cappucino', 'Cappucino', 'Pour-over normal']","[70, 75, 70, 70, 100]",Medse
660,07-08-2021,15:58,"['Cappucino', 'Coffee beans special 200', 'Flat white']","[70, 600, 70]",Medse
661,07-08-2021,16:17,['Latte'],[70],Medse
662,07-08-2021,16:21,"['Pour-over normal', 'Cappucino']","[100, 70]",Medse
663,07-08-2021,7:26,['Americano'],[50],Medse
664,07-08-2021,7:52,['Latte'],[70],Medse
665,07-08-2021,8:20,"['Cappucino', 'Mocha', 'Flat white']","[70, 75, 70]",Medse
666,07-08-2021,8:29,['Pour-over special'],[200],Medse
667,07-08-2021,8:54,"['Cappucino', 'Macchiato']","[70, 75]",Medse
668,07-08-2021,9:18,['Latte'],[70],Medse
669,07-08-2021,9:30,['Pour-over normal'],[100],Medse
670,08-08-2021,10:04,['Macchiato'],[75],Medse
671,08-08-2021,10:07,"['Flat white', 'Pour-over normal']","[70, 100]",Medse
672,08-08-2021,11:00,['Americano'],[50],Medse
673,08-08-2021,11:19,['Mocha'],[75],Medse
674,08-08-2021,12:06,['Pour-over special'],[200],Medse
675,08-08-2021,13:22,['Americano'],[50],Medse
676,08-08-2021,14:02,['Cappucino'],[70],Medse
677,08-08-2021,14:26,['Latte'],[70],Medse
678,08-08-2021,15:33,"['Pour-over special', 'Cappucino']","[200, 70]",Medse
679,08-08-2021,7:43,['Latte'],[70],Medse
680,08-08-2021,8:08,['Coffee beans 200'],[400],Medse
681,08-08-2021,8:08,"['Pour-over special', 'Pour-over special']","[200, 200]",Medse
682,08-08-2021,8:09,"['Americano', 'Flat white']","[50, 70]",Medse
683,08-08-2021,9:35,['Pour-over special'],[200],Medse
684,08-08-2021,9:41,"['Macchiato', 'Coffee beans 200']","[75, 400]",Medse
685,09-08-2021,10:02,['Pour-over normal'],[100],Rambo
686,09-08-2021,10:02,['Pour-over normal'],[100],Rambo
687,09-08-2021,10:18,"['Latte', 'Flat white', 'Pour-over special']","[70, 70, 200]",Rambo
688,09-08-2021,10:21,['Macchiato'],[75],Rambo
689,09-08-2021,10:21,['Pour-over special'],[200],Rambo
690,09-08-2021,10:43,['Pour-over normal'],[100],Rambo
691,09-08-2021,11:18,['Pour-over normal'],[100],Rambo
692,09-08-2021,11:58,"['Pour-over normal', 'Flat white']","[100, 70]",Rambo
693,09-08-2021,11:59,"['Coffee beans 200', 'Macchiato', 'Pour-over special', 'Americano', 'Macchiato']","[400, 75, 200, 50, 75]",Rambo
694,09-08-2021,12:22,['Pour-over normal'],[100],Rambo
695,09-08-2021,12:45,['Pour-over normal'],[100],Rambo
696,09-08-2021,13:08,['Americano'],[50],Rambo
697,09-08-2021,13:08,"['Cappucino', 'Latte', 'Coffee beans special 200', 'Cappucino']","[70, 70, 600, 70]",Rambo
698,09-08-2021,14:05,['Americano'],[50],Rambo
699,09-08-2021,14:59,['Cappucino'],[70],Rambo
700,09-08-2021,15:00,"['Coffee beans 200', 'Americano']","[400, 50]",Rambo
701,09-08-2021,15:05,"['Pour-over special', 'Cappucino']","[200, 70]",Rambo
702,09-08-2021,15:32,['Pour-over normal'],[100],Rambo
703,09-08-2021,15:54,"['Pour-over normal', 'Pour-over normal', 'Pour-over normal']","[100, 100, 100]",Rambo
704,09-08-2021,16:24,['Coffee beans special 200'],[600],Rambo
705,09-08-2021,16:40,['Macchiato'],[75],Rambo
706,09-08-2021,7:27,['Espresso shot'],[30],Rambo
707,09-08-2021,7:27,['Cappucino'],[70],Rambo
